video_id,clip_id,label,mode,kind
video_0001,1,-1,train,SNEG
video_0001,2,1,train,SPOS
video_0001,3,-1,train,SNEG
video_0001,4,-1,train,SNEG
video_0001,5,-1,train,SNEG
video_0001,6,-1,train,SNEG
video_0001,7,1,train,SPOS
video_0001,8,-1,train,SNEG
video_0001,9,0.4,train,WPOS
video_0001,10,1,train,SPOS
video_0001,11,1,train,SPOS
video_0001,12,-1,train,SNEG
video_0001,13,0,train,NEUT
video_0001,14,-0.2,train,WNEG
video_0001,15,-1,train,SNEG
video_0001,16,-1,train,SNEG
video_0001,17,1,train,SPOS
video_0001,18,1,train,SPOS
video_0001,19,-1,train,SNEG
video_0001,20,-0.8,train,SNEG
video_0001,21,0.6,train,WPOS
video_0001,22,-1,train,SNEG
video_0001,23,1,train,SPOS
video_0001,24,-0.4,train,WNEG
video_0001,25,-0.6,train,WNEG
video_0001,26,-0.6,train,WNEG
video_0001,27,0,train,NEUT
video_0001,28,-0.6,train,WNEG
video_0001,29,-0.8,train,SNEG
video_0001,30,0.2,train,WPOS
video_0001,31,0.6,train,WPOS
video_0001,32,-1,train,SNEG
video_0001,33,1,train,SPOS
video_0001,34,-0.8,train,SNEG
video_0001,35,-1,train,SNEG
video_0002,1,0.2,train,WPOS
video_0002,2,0,train,NEUT
video_0002,3,0,train,NEUT
video_0002,4,-1,train,SNEG
video_0002,5,0,train,NEUT
video_0002,6,-0.8,train,SNEG
video_0002,7,-0.2,train,WNEG
video_0002,8,-1,train,SNEG
video_0002,9,-1,train,SNEG
video_0002,10,0.6,train,WPOS
video_0002,11,-1,train,SNEG
video_0002,12,0.4,train,WPOS
video_0002,13,0,train,NEUT
video_0002,14,-0.4,train,WNEG
video_0002,15,-0.2,train,WNEG
video_0002,16,-1,train,SNEG
video_0002,17,0,train,NEUT
video_0002,18,0,train,NEUT
video_0002,19,0.2,train,WPOS
video_0002,20,0.2,train,WPOS
video_0002,21,-0.8,train,SNEG
video_0002,22,-0.2,train,WNEG
video_0002,23,-0.6,train,WNEG
video_0002,24,0.6,train,WPOS
video_0002,25,-0.2,train,WNEG
video_0002,26,-0.2,train,WNEG
video_0002,27,0.2,train,WPOS
video_0002,28,-1,train,SNEG
video_0002,29,-0.6,train,WNEG
video_0002,30,-1,train,SNEG
video_0002,31,0.8,train,SPOS
video_0002,32,-1,train,SNEG
video_0002,33,-1,train,SNEG
video_0002,34,1,train,SPOS
video_0002,35,-0.8,train,SNEG
video_0002,36,1,train,SPOS
video_0002,37,0.8,train,SPOS
video_0002,38,-1,train,SNEG
video_0003,1,-0.4,train,WNEG
video_0003,2,-1,train,SNEG
video_0003,3,-1,train,SNEG
video_0003,4,-1,train,SNEG
video_0003,5,-1,train,SNEG
video_0003,6,-1,train,SNEG
video_0004,1,0.6,train,WPOS
video_0004,2,-0.8,train,SNEG
video_0004,3,-0.4,train,WNEG
video_0005,1,-1,train,SNEG
video_0005,2,0,train,NEUT
video_0005,3,-1,train,SNEG
video_0005,4,-0.2,train,WNEG
video_0005,5,0,train,NEUT
video_0005,6,-1,train,SNEG
video_0005,7,-1,train,SNEG
video_0005,8,0.6,train,WPOS
video_0005,9,0.6,train,WPOS
video_0005,10,-1,train,SNEG
video_0005,11,-1,train,SNEG
video_0005,12,-1,train,SNEG
video_0005,13,-1,train,SNEG
video_0005,14,1,train,SPOS
video_0005,15,-0.2,train,WNEG
video_0005,16,-0.8,train,SNEG
video_0005,17,-1,train,SNEG
video_0006,1,1,train,SPOS
video_0006,2,1,train,SPOS
video_0006,3,-1,train,SNEG
video_0006,4,0,train,NEUT
video_0006,5,1,train,SPOS
video_0006,6,-1,train,SNEG
video_0006,7,-0.2,train,WNEG
video_0006,8,-1,train,SNEG
video_0006,9,1,train,SPOS
video_0006,10,1,train,SPOS
video_0006,11,1,train,SPOS
video_0006,12,-0.6,train,WNEG
video_0006,13,0.2,train,WPOS
video_0006,14,1,train,SPOS
video_0006,15,-1,train,SNEG
video_0006,16,-1,train,SNEG
video_0006,17,1,train,SPOS
video_0006,18,-1,train,SNEG
video_0006,19,-1,train,SNEG
video_0006,20,-0.6,train,WNEG
video_0006,21,-1,train,SNEG
video_0006,22,-1,train,SNEG
video_0007,1,1,train,SPOS
video_0007,2,-0.8,train,SNEG
video_0007,3,-1,train,SNEG
video_0007,4,-1,train,SNEG
video_0007,5,-1,train,SNEG
video_0007,6,1,train,SPOS
video_0007,7,-1,train,SNEG
video_0007,8,1,train,SPOS
video_0007,9,-1,train,SNEG
video_0007,10,-1,train,SNEG
video_0007,11,-1,train,SNEG
video_0007,12,-1,train,SNEG
video_0008,1,-0.6,train,WNEG
video_0008,2,-1,train,SNEG
video_0008,3,-1,train,SNEG
video_0008,4,0.6,train,WPOS
video_0008,5,0,train,NEUT
video_0008,6,1,train,SPOS
video_0008,7,0.2,train,WPOS
video_0008,8,1,train,SPOS
video_0008,9,-1,train,SNEG
video_0008,10,-0.8,train,SNEG
video_0008,11,-0.2,train,WNEG
video_0008,12,-0.8,train,SNEG
