video_id,clip_id,label,mode,kind
video_0001,0001,-1,train,SNEG
video_0001,0002,1,train,SPOS
video_0001,0003,-1,test,SNEG
video_0001,0004,-1,train,SNEG
video_0001,0005,-1,train,SNEG
video_0001,0006,-1,test,SNEG
video_0001,0007,1,train,SPOS
video_0001,0008,-1,train,SNEG
video_0001,0009,0.4,test,WPOS
video_0001,0010,1,train,SPOS
video_0001,0011,1,train,SPOS
video_0001,0012,-1,valid,SNEG
video_0001,0013,0,train,NEUT
video_0001,0014,-0.2,train,WNEG
video_0001,0015,-1,train,SNEG
video_0001,0016,-1,train,SNEG
video_0001,0017,1,test,SPOS
video_0001,0018,1,train,SPOS
video_0001,0019,-1,train,SNEG
video_0001,0020,-0.8,train,SNEG
video_0001,0021,0.6,valid,WPOS
video_0001,0022,-1,valid,SNEG
video_0001,0023,1,valid,SPOS
video_0001,0024,-0.4,train,WNEG
video_0001,0025,-0.6,train,WNEG
video_0001,0026,-0.6,train,WNEG
video_0001,0027,0,test,NEUT
video_0001,0028,-0.6,test,WNEG
video_0001,0029,-0.8,train,SNEG
video_0001,0030,0.2,train,WPOS
video_0001,0031,0.6,test,WPOS
video_0001,0032,-1,valid,SNEG
video_0001,0033,1,test,SPOS
video_0001,0034,-0.8,train,SNEG
video_0001,0035,-1,train,SNEG
video_0002,0001,0.2,train,WPOS
video_0002,0002,0,train,NEUT
video_0002,0003,0,test,NEUT
video_0002,0004,-1,test,SNEG
video_0002,0005,0,train,NEUT
video_0002,0006,-0.8,valid,SNEG
video_0002,0007,-0.2,valid,WNEG
video_0002,0008,-1,test,SNEG
video_0002,0009,-1,valid,SNEG
video_0002,0010,0.6,valid,WPOS
video_0002,0011,-1,train,SNEG
video_0002,0012,0.4,train,WPOS
video_0002,0013,0,train,NEUT
video_0002,0014,-0.4,train,WNEG
video_0002,0015,-0.2,train,WNEG
video_0002,0016,-1,train,SNEG
video_0002,0017,0,test,NEUT
video_0002,0018,0,train,NEUT
video_0002,0019,0.2,train,WPOS
video_0002,0020,0.2,valid,WPOS
video_0002,0021,-0.8,train,SNEG
video_0002,0022,-0.2,train,WNEG
video_0002,0023,-0.6,valid,WNEG
video_0002,0024,0.6,train,WPOS
video_0002,0025,-0.2,test,WNEG
video_0002,0026,-0.2,valid,WNEG
video_0002,0027,0.2,train,WPOS
video_0002,0028,-1,valid,SNEG
video_0002,0029,-0.6,test,WNEG
video_0002,0030,-1,train,SNEG
video_0002,0031,0.8,train,SPOS
video_0002,0032,-1,test,SNEG
video_0002,0033,-1,test,SNEG
video_0002,0034,1,valid,SPOS
video_0002,0035,-0.8,train,SNEG
video_0002,0036,1,train,SPOS
video_0002,0037,0.8,test,SPOS
video_0002,0038,-1,train,SNEG
video_0003,0001,-0.4,test,WNEG
video_0003,0002,-1,train,SNEG
video_0003,0003,-1,train,SNEG
video_0003,0004,-1,train,SNEG
video_0003,0005,-1,valid,SNEG
video_0003,0006,-1,test,SNEG
video_0004,0001,0.6,train,WPOS
video_0004,0002,-0.8,train,SNEG
video_0004,0003,-0.4,test,WNEG
video_0005,0001,-1,train,SNEG
video_0005,0002,0,test,NEUT
video_0005,0003,-1,valid,SNEG
video_0005,0004,-0.2,train,WNEG
video_0005,0005,0,valid,NEUT
video_0005,0006,-1,train,SNEG
video_0005,0007,-1,train,SNEG
video_0005,0008,0.6,valid,WPOS
video_0005,0009,0.6,train,WPOS
video_0005,0010,-1,test,SNEG
video_0005,0011,-1,valid,SNEG
video_0005,0012,-1,test,SNEG
video_0005,0013,-1,valid,SNEG
video_0005,0014,1,valid,SPOS
video_0005,0015,-0.2,train,WNEG
video_0005,0016,-0.8,valid,SNEG
video_0005,0017,-1,train,SNEG
video_0006,0001,1,valid,SPOS
video_0006,0002,1,valid,SPOS
video_0006,0003,-1,valid,SNEG
video_0006,0004,0,test,NEUT
video_0006,0005,1,valid,SPOS
video_0006,0006,-1,train,SNEG
video_0006,0007,-0.2,train,WNEG
video_0006,0008,-1,valid,SNEG
video_0006,0009,1,train,SPOS
video_0006,0010,1,train,SPOS
video_0006,0011,1,train,SPOS
video_0006,0012,-0.6,train,WNEG
video_0006,0013,0.2,test,WPOS
video_0006,0014,1,train,SPOS
video_0006,0015,-1,test,SNEG
video_0006,0016,-1,test,SNEG
video_0006,0017,1,valid,SPOS
video_0006,0018,-1,train,SNEG
video_0006,0019,-1,valid,SNEG
video_0006,0020,-0.6,train,WNEG
video_0006,0021,-1,train,SNEG
video_0006,0022,-1,train,SNEG
video_0007,0001,1,train,SPOS
video_0007,0002,-0.8,train,SNEG
video_0007,0003,-1,valid,SNEG
video_0007,0004,-1,test,SNEG
video_0007,0005,-1,train,SNEG
video_0007,0006,1,train,SPOS
video_0007,0007,-1,train,SNEG
video_0007,0008,1,train,SPOS
video_0007,0009,-1,train,SNEG
video_0007,0010,-1,valid,SNEG
video_0007,0011,-1,test,SNEG
video_0007,0012,-1,train,SNEG
video_0008,0001,-0.6,train,WNEG
video_0008,0002,-1,train,SNEG
video_0008,0003,-1,train,SNEG
video_0008,0004,0.6,train,WPOS
video_0008,0005,0,train,NEUT
video_0008,0006,1,valid,SPOS
video_0008,0007,0.2,train,WPOS
video_0008,0008,1,train,SPOS
video_0008,0009,-1,train,SNEG
video_0008,0010,-0.8,train,SNEG
video_0008,0011,-0.2,test,WNEG
video_0008,0012,-0.8,train,SNEG
video_0009,0001,1,train,SPOS
video_0009,0002,-0.4,train,WNEG
video_0009,0003,1,test,SPOS
video_0009,0004,-0.8,train,SNEG
video_0009,0005,-0.2,train,WNEG
video_0009,0006,1,train,SPOS
video_0009,0007,-1,valid,SNEG
video_0009,0008,-0.4,valid,WNEG
video_0009,0009,-0.6,train,WNEG
video_0009,0010,0,train,NEUT
video_0009,0011,0,test,NEUT
video_0009,0012,-0.6,train,WNEG
video_0009,0013,0,train,NEUT
video_0009,0014,-0.6,valid,WNEG
video_0009,0015,0.2,valid,WPOS
video_0009,0016,0,train,NEUT
video_0009,0017,1,train,SPOS
video_0009,0018,1,train,SPOS
video_0009,0019,-1,test,SNEG
video_0009,0020,1,valid,SPOS
video_0009,0021,0.4,test,WPOS
video_0009,0022,0.8,valid,SPOS
video_0009,0023,-1,train,SNEG
video_0009,0024,-1,train,SNEG
video_0009,0025,-0.8,train,SNEG
video_0009,0026,-1,train,SNEG
video_0009,0027,0,valid,NEUT
video_0009,0028,-1,test,SNEG
video_0009,0029,-1,train,SNEG
video_0009,0030,0.2,valid,WPOS
video_0009,0031,-1,test,SNEG
video_0009,0032,-1,train,SNEG
video_0009,0033,0.8,train,SPOS
video_0009,0034,-1,train,SNEG
video_0009,0035,-1,train,SNEG
video_0009,0036,-0.4,train,WNEG
video_0009,0037,-0.8,test,SNEG
video_0009,0038,0.8,valid,SPOS
video_0009,0039,-1,train,SNEG
video_0009,0040,-1,train,SNEG
video_0009,0041,-0.2,train,WNEG
video_0009,0042,-0.2,train,WNEG
video_0010,0001,-0.8,test,SNEG
video_0010,0002,-0.8,valid,SNEG
video_0010,0003,-0.2,train,WNEG
video_0010,0004,-1,train,SNEG
video_0010,0005,1,valid,SPOS
video_0010,0006,-0.4,train,WNEG
video_0010,0007,-1,test,SNEG
video_0010,0008,0.6,train,WPOS
video_0010,0009,0.2,train,WPOS
video_0010,0010,0,train,NEUT
video_0010,0011,0,train,NEUT
video_0010,0012,-0.8,train,SNEG
video_0010,0013,1,train,SPOS
video_0010,0014,0.4,train,WPOS
video_0010,0015,-1,valid,SNEG
video_0010,0016,0.4,train,WPOS
video_0010,0017,0.8,train,SPOS
video_0010,0018,-1,valid,SNEG
video_0010,0019,-1,train,SNEG
video_0010,0020,-1,train,SNEG
video_0010,0021,-1,train,SNEG
video_0010,0022,0.8,train,SPOS
video_0010,0023,0,test,NEUT
video_0010,0024,0.6,train,WPOS
video_0010,0025,-1,train,SNEG
video_0010,0026,-1,train,SNEG
video_0010,0027,0.8,test,SPOS
video_0010,0028,-1,train,SNEG
video_0010,0029,0.6,train,WPOS
video_0010,0030,-1,test,SNEG
video_0010,0031,-1,valid,SNEG
video_0010,0032,0.4,test,WPOS
video_0010,0033,0,train,NEUT
video_0010,0034,-1,train,SNEG
video_0010,0035,-1,train,SNEG
video_0010,0036,1,test,SPOS
video_0010,0037,1,test,SPOS
video_0010,0038,-0.8,test,SNEG
video_0011,0001,0.6,train,WPOS
video_0011,0002,1,train,SPOS
video_0011,0003,0.2,train,WPOS
video_0011,0004,-0.8,test,SNEG
video_0011,0005,1,train,SPOS
video_0011,0006,-1,train,SNEG
video_0011,0007,0.8,valid,SPOS
video_0011,0008,0.8,train,SPOS
video_0011,0009,1,train,SPOS
video_0011,0010,-0.6,test,WNEG
video_0011,0011,-0.8,test,SNEG
video_0011,0012,1,test,SPOS
video_0011,0013,-1,train,SNEG
video_0011,0014,0,train,NEUT
video_0011,0015,-1,valid,SNEG
video_0011,0016,0.8,valid,SPOS
video_0011,0017,-1,test,SNEG
video_0011,0018,-1,valid,SNEG
video_0011,0019,0.4,train,WPOS
video_0011,0020,-0.4,test,WNEG
video_0011,0021,1,test,SPOS
video_0011,0022,-1,train,SNEG
video_0011,0023,1,valid,SPOS
video_0011,0024,-1,train,SNEG
video_0011,0025,-1,test,SNEG
video_0011,0026,-0.2,test,WNEG
video_0011,0027,-0.8,test,SNEG
video_0011,0028,0.2,valid,WPOS
video_0011,0029,1,train,SPOS
video_0011,0030,0,valid,NEUT
video_0011,0031,1,valid,SPOS
video_0011,0032,-1,train,SNEG
video_0011,0033,0,train,NEUT
video_0011,0034,1,train,SPOS
video_0011,0035,-0.2,train,WNEG
video_0012,0001,1,train,SPOS
video_0012,0002,0,train,NEUT
video_0012,0003,0.6,train,WPOS
video_0012,0004,-0.6,train,WNEG
video_0012,0005,-1,train,SNEG
video_0012,0006,-1,train,SNEG
video_0012,0007,-1,valid,SNEG
video_0012,0008,-1,train,SNEG
video_0012,0009,-0.6,valid,WNEG
video_0012,0010,-1,train,SNEG
video_0012,0011,-1,test,SNEG
video_0012,0012,-1,test,SNEG
video_0012,0013,0.6,train,WPOS
video_0012,0014,-0.2,valid,WNEG
video_0012,0015,-1,train,SNEG
video_0012,0016,1,test,SPOS
video_0012,0017,-1,valid,SNEG
video_0012,0018,-1,test,SNEG
video_0012,0019,0.4,train,WPOS
video_0012,0020,0,train,NEUT
video_0012,0021,-1,train,SNEG
video_0012,0022,-1,train,SNEG
video_0012,0023,-1,test,SNEG
video_0012,0024,1,test,SPOS
video_0012,0025,-0.6,train,WNEG
video_0012,0026,-1,test,SNEG
video_0012,0027,1,test,SPOS
video_0012,0028,-0.2,train,WNEG
video_0012,0029,0.4,valid,WPOS
video_0012,0030,-1,train,SNEG
video_0012,0031,0.4,train,WPOS
video_0012,0032,0.2,train,WPOS
video_0012,0033,-0.2,train,WNEG
video_0012,0034,0.2,train,WPOS
video_0012,0035,-0.2,train,WNEG
video_0012,0036,-0.8,train,SNEG
video_0012,0037,-1,valid,SNEG
video_0012,0038,0,train,NEUT
video_0012,0039,1,valid,SPOS
video_0012,0040,-1,train,SNEG
video_0012,0041,-1,train,SNEG
video_0012,0042,0.8,valid,SPOS
video_0012,0043,-0.8,train,SNEG
video_0012,0044,-1,valid,SNEG
video_0012,0045,0.2,valid,WPOS
video_0012,0046,-0.8,train,SNEG
video_0012,0047,-0.6,valid,WNEG
video_0013,0001,0,valid,NEUT
video_0013,0002,0.2,train,WPOS
video_0013,0003,-0.2,train,WNEG
video_0013,0004,1,train,SPOS
video_0013,0005,0.2,valid,WPOS
video_0013,0006,-1,train,SNEG
video_0013,0007,-1,train,SNEG
video_0013,0008,-1,train,SNEG
video_0013,0009,-1,valid,SNEG
video_0013,0010,-1,valid,SNEG
video_0013,0011,-1,valid,SNEG
video_0013,0012,1,valid,SPOS
video_0013,0013,-0.4,train,WNEG
video_0013,0014,1,valid,SPOS
